Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Регулярный
37.0,454.0,2.0,2.0,1.0,418.0,29.0,20.0,24.54054054054054,25.0,26.0,16.0,False,False
98.0,3094.0,2.0,2.0,1.0,2997.0,73.0,53.0,63.142857142857146,63.0,63.0,27.0,False,False
74.0,292.0,4.0,3.0,1.0,219.0,17.0,3.0,7.891891891891892,8.0,8.0,6.0,False,False
83.0,2440.0,2.0,2.0,1.0,2358.0,68.0,50.0,58.795180722891565,58.0,56.0,29.0,False,False
69.0,1961.0,2.0,2.0,1.0,1893.0,64.0,50.0,56.84057971014493,57.0,55.0,29.0,False,False
95.0,2848.0,2.0,2.0,1.0,2754.0,70.0,49.0,59.95789473684211,59.0,59.0,27.0,False,False
46.0,667.0,2.0,2.0,1.0,622.0,35.0,23.0,29.0,29.0,29.0,16.0,False,False
77.0,928.0,3.0,2.0,1.0,852.0,39.0,15.0,24.103896103896105,24.0,26.0,13.0,False,False
34.0,48.0,,,2.0,16.0,6.0,1.0,2.823529411764706,3.0,3.0,4.0,False,False
38.0,334.0,2.0,2.0,1.0,297.0,23.0,12.0,17.57894736842105,18.0,19.0,10.0,False,False
43.0,240.0,3.0,2.0,1.0,198.0,16.0,7.0,11.162790697674419,11.0,13.0,6.0,False,False
90.0,3462.0,2.0,2.0,1.0,3373.0,86.0,64.0,76.93333333333334,77.0,77.0,39.0,False,False
48.0,533.0,2.0,2.0,1.0,486.0,31.0,14.0,22.208333333333332,22.0,20.0,12.0,False,False
24.0,102.0,3.0,2.0,1.0,79.0,12.0,3.0,8.5,9.0,9.0,6.0,False,False
55.0,1046.0,2.0,2.0,1.0,992.0,43.0,30.0,38.03636363636364,38.0,40.0,20.0,False,False
71.0,1967.0,2.0,2.0,1.0,1897.0,62.0,47.0,55.40845070422535,55.0,55.0,27.0,False,False
69.0,418.0,4.0,3.0,1.0,350.0,19.0,3.0,12.115942028985508,12.0,10.0,9.0,False,False
47.0,217.0,3.0,2.0,1.0,171.0,17.0,4.0,9.23404255319149,9.0,10.0,8.0,False,False
18.0,138.0,2.0,1.0,1.0,121.0,17.0,14.0,15.333333333333334,15.0,15.0,12.0,False,False
70.0,106.0,,,2.0,38.0,6.0,0.0,3.0285714285714285,3.0,3.0,4.0,False,False
89.0,1057.0,3.0,2.0,1.0,969.0,32.0,14.0,23.752808988764045,24.0,26.0,11.0,False,False
12.0,32.0,3.0,2.0,1.0,21.0,8.0,2.0,5.333333333333333,5.0,4.0,5.0,False,False
66.0,345.0,3.0,3.0,1.0,280.0,16.0,4.0,10.454545454545455,10.0,9.0,8.0,False,False
61.0,1551.0,2.0,2.0,1.0,1491.0,56.0,44.0,50.85245901639344,51.0,53.0,28.0,False,False
65.0,1836.0,2.0,2.0,1.0,1772.0,62.0,51.0,56.49230769230769,57.0,56.0,32.0,False,False
36.0,570.0,2.0,1.0,1.0,535.0,35.0,27.0,31.666666666666668,32.0,31.0,21.0,False,False
35.0,466.0,2.0,2.0,1.0,432.0,30.0,22.0,26.62857142857143,27.0,26.0,15.0,False,False
24.0,262.0,2.0,1.0,1.0,239.0,23.0,20.0,21.833333333333332,22.0,23.0,17.0,False,False
66.0,1276.0,2.0,2.0,1.0,1211.0,47.0,26.0,38.666666666666664,39.0,41.0,20.0,False,False
21.0,193.0,2.0,1.0,1.0,173.0,20.0,16.0,18.38095238095238,18.0,18.0,14.0,False,False
35.0,505.0,2.0,2.0,1.0,471.0,32.0,24.0,28.857142857142858,29.0,28.0,17.0,False,False
12.0,50.0,2.0,1.0,1.0,39.0,11.0,6.0,8.333333333333334,8.0,7.0,7.0,False,False
91.0,1979.0,2.0,2.0,1.0,1889.0,53.0,33.0,43.494505494505496,44.0,48.0,19.0,False,False
97.0,4189.0,2.0,2.0,1.0,4093.0,92.0,79.0,86.37113402061856,87.0,87.0,46.0,False,False
26.0,136.0,3.0,2.0,1.0,111.0,14.0,5.0,10.461538461538462,10.0,10.0,7.0,False,False
66.0,2010.0,2.0,1.0,1.0,1945.0,65.0,56.0,60.90909090909091,61.0,61.0,37.0,False,False
34.0,394.0,2.0,2.0,1.0,361.0,28.0,17.0,23.176470588235293,24.0,24.0,15.0,False,False
37.0,330.0,2.0,2.0,1.0,294.0,23.0,10.0,17.83783783783784,18.0,17.0,12.0,False,False
36.0,425.0,2.0,2.0,1.0,390.0,28.0,19.0,23.61111111111111,24.0,26.0,13.0,False,False
65.0,977.0,2.0,2.0,1.0,913.0,38.0,22.0,30.06153846153846,30.0,31.0,14.0,False,False
43.0,575.0,2.0,2.0,1.0,533.0,34.0,20.0,26.74418604651163,27.0,26.0,14.0,False,False
43.0,62.0,,,3.0,22.0,6.0,0.0,2.883720930232558,3.0,3.0,4.0,False,False
26.0,295.0,2.0,1.0,1.0,270.0,25.0,21.0,22.692307692307693,23.0,23.0,15.0,False,False
100.0,3058.0,2.0,2.0,1.0,2959.0,72.0,48.0,61.16,61.0,61.0,26.0,False,False
53.0,944.0,2.0,2.0,1.0,892.0,42.0,26.0,35.62264150943396,36.0,37.0,16.0,False,False
27.0,347.0,2.0,1.0,1.0,321.0,26.0,24.0,25.703703703703702,26.0,26.0,24.0,False,False
30.0,46.0,,,2.0,18.0,6.0,0.0,3.066666666666667,3.0,2.0,3.0,False,False
43.0,858.0,2.0,1.0,1.0,816.0,42.0,37.0,39.906976744186046,40.0,40.0,29.0,False,False
92.0,3315.0,2.0,2.0,1.0,3224.0,84.0,62.0,72.06521739130434,72.0,72.0,32.0,False,False
80.0,2094.0,2.0,2.0,1.0,2015.0,59.0,40.0,52.35,53.0,55.0,23.0,False,False
99.0,1299.0,3.0,2.0,1.0,1201.0,38.0,15.0,26.242424242424242,26.0,28.0,13.0,False,False
98.0,4197.0,2.0,2.0,1.0,4100.0,93.0,77.0,85.65306122448979,86.0,88.0,44.0,False,False
47.0,102.0,6.0,3.0,1.0,56.0,10.0,2.0,4.340425531914893,4.0,4.0,4.0,False,False
55.0,914.0,2.0,2.0,1.0,860.0,45.0,26.0,33.236363636363635,33.0,33.0,16.0,False,False
67.0,1464.0,2.0,2.0,1.0,1398.0,52.0,37.0,43.701492537313435,44.0,45.0,22.0,False,False
55.0,246.0,3.0,3.0,1.0,192.0,17.0,2.0,8.945454545454545,9.0,9.0,7.0,False,False
44.0,497.0,2.0,2.0,1.0,454.0,32.0,14.0,22.59090909090909,22.0,21.0,13.0,False,False
21.0,38.0,,,3.0,20.0,7.0,0.0,3.619047619047619,4.0,3.0,5.0,False,False
88.0,630.0,3.0,2.0,1.0,543.0,24.0,7.0,14.318181818181818,14.0,14.0,8.0,False,False
60.0,231.0,4.0,3.0,1.0,172.0,14.0,3.0,7.7,8.0,7.0,6.0,False,False
69.0,161.0,6.0,4.0,1.0,93.0,11.0,1.0,4.666666666666667,4.0,3.0,5.0,False,False
52.0,383.0,3.0,2.0,1.0,332.0,21.0,8.0,14.73076923076923,15.0,13.0,10.0,False,False
42.0,706.0,2.0,2.0,1.0,665.0,38.0,28.0,33.61904761904762,34.0,35.0,19.0,False,False
57.0,933.0,2.0,2.0,1.0,877.0,41.0,27.0,32.73684210526316,33.0,35.0,16.0,False,False
71.0,452.0,3.0,2.0,1.0,382.0,20.0,5.0,12.732394366197184,13.0,15.0,8.0,False,False
92.0,727.0,3.0,2.0,1.0,636.0,26.0,8.0,15.804347826086957,16.0,15.0,10.0,False,False
10.0,32.0,2.0,2.0,1.0,23.0,8.0,5.0,6.4,6.0,6.0,5.0,False,False
92.0,977.0,3.0,2.0,1.0,886.0,31.0,13.0,21.23913043478261,21.0,24.0,12.0,False,False
74.0,618.0,3.0,2.0,1.0,545.0,25.0,8.0,16.7027027027027,17.0,18.0,11.0,False,False
49.0,730.0,2.0,2.0,1.0,682.0,37.0,21.0,29.79591836734694,30.0,31.0,15.0,False,False
65.0,1653.0,2.0,2.0,1.0,1589.0,57.0,43.0,50.86153846153846,51.0,49.0,26.0,False,False
23.0,81.0,3.0,2.0,1.0,59.0,11.0,2.0,7.043478260869565,7.0,6.0,6.0,False,False
27.0,222.0,2.0,2.0,1.0,196.0,22.0,12.0,16.444444444444443,16.0,16.0,11.0,False,False
11.0,33.0,3.0,2.0,1.0,23.0,9.0,2.0,6.0,6.0,6.0,5.0,False,False
18.0,152.0,2.0,1.0,1.0,135.0,17.0,16.0,16.88888888888889,17.0,17.0,17.0,False,False
21.0,28.0,,,4.0,11.0,5.0,0.0,2.6666666666666665,3.0,2.0,3.0,False,False
94.0,1536.0,2.0,2.0,1.0,1443.0,43.0,24.0,32.680851063829785,32.0,31.0,15.0,False,False
22.0,130.0,2.0,2.0,1.0,109.0,17.0,7.0,11.818181818181818,12.0,11.0,9.0,False,False
14.0,29.0,3.0,2.0,1.0,16.0,6.0,2.0,4.142857142857143,5.0,5.0,5.0,False,False
19.0,130.0,2.0,2.0,1.0,112.0,16.0,12.0,13.68421052631579,13.0,13.0,9.0,False,False
12.0,32.0,3.0,2.0,1.0,21.0,7.0,3.0,5.333333333333333,6.0,4.0,6.0,False,False
77.0,2501.0,2.0,2.0,1.0,2425.0,71.0,54.0,64.96103896103897,65.0,65.0,35.0,False,False
27.0,309.0,2.0,1.0,1.0,283.0,26.0,18.0,22.88888888888889,23.0,24.0,16.0,False,False
14.0,52.0,2.0,2.0,1.0,39.0,10.0,5.0,7.428571428571429,8.0,8.0,6.0,False,False
33.0,384.0,2.0,2.0,1.0,352.0,27.0,19.0,23.272727272727273,23.0,24.0,13.0,False,False
26.0,305.0,2.0,1.0,1.0,280.0,25.0,20.0,23.46153846153846,24.0,24.0,17.0,False,False
24.0,224.0,2.0,2.0,1.0,201.0,22.0,15.0,18.666666666666668,19.0,19.0,13.0,False,False
8.0,26.0,2.0,1.0,1.0,19.0,7.0,5.0,6.5,7.0,7.0,7.0,False,False
43.0,173.0,4.0,3.0,1.0,131.0,13.0,2.0,8.046511627906977,8.0,7.0,6.0,False,False
62.0,1591.0,2.0,2.0,1.0,1530.0,56.0,46.0,51.32258064516129,52.0,54.0,28.0,False,False
95.0,3821.0,2.0,2.0,1.0,3727.0,87.0,70.0,80.4421052631579,81.0,80.0,41.0,False,False
50.0,64.0,,,3.0,17.0,7.0,0.0,2.56,2.0,1.0,4.0,False,False
71.0,1426.0,2.0,2.0,1.0,1356.0,50.0,25.0,40.16901408450704,40.0,40.0,19.0,False,False
43.0,509.0,2.0,2.0,1.0,467.0,29.0,17.0,23.674418604651162,23.0,23.0,13.0,False,False
49.0,683.0,2.0,2.0,1.0,635.0,35.0,20.0,27.877551020408163,28.0,30.0,16.0,False,False
93.0,2338.0,2.0,2.0,1.0,2246.0,61.0,38.0,50.27956989247312,50.0,50.0,22.0,False,False
82.0,2650.0,2.0,2.0,1.0,2569.0,72.0,55.0,64.63414634146342,65.0,65.0,30.0,False,False
19.0,108.0,2.0,2.0,1.0,90.0,15.0,7.0,11.368421052631579,12.0,13.0,8.0,False,False
39.0,64.0,,,2.0,27.0,6.0,0.0,3.282051282051282,3.0,3.0,4.0,False,False
76.0,2335.0,2.0,2.0,1.0,2260.0,70.0,52.0,61.44736842105263,62.0,59.0,32.0,False,False
26.0,111.0,3.0,2.0,1.0,86.0,13.0,4.0,8.538461538461538,9.0,7.0,7.0,False,False
72.0,95.0,,,8.0,31.0,6.0,0.0,2.638888888888889,2.0,2.0,4.0,False,False
94.0,3195.0,2.0,2.0,1.0,3102.0,78.0,58.0,67.97872340425532,68.0,68.0,32.0,False,False
47.0,988.0,2.0,2.0,1.0,942.0,45.0,35.0,42.04255319148936,42.0,43.0,25.0,False,False
53.0,75.0,,,5.0,27.0,7.0,0.0,2.830188679245283,3.0,3.0,4.0,False,False
31.0,257.0,2.0,2.0,1.0,227.0,22.0,9.0,16.580645161290324,17.0,18.0,10.0,False,False
