,Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Число граней,Среднее значение числа рёбер в грани,Медианное значение числа рёбер в грани,Максимальное значение числа рёбер в грани,Минимальное значение числа рёбер в грани
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,0.0,0.0,0.0,0.0
21,6.0,5.0,4.0,2.0,1.0,0.0,3.0,1.0,1.6666666666666667,2.0,1.0,2.0,True,1.0,10.0,10.0,10.0,10.0
25,17.0,18.0,2.0,2.0,3.0,4.0,6.0,0.0,2.1176470588235294,2.0,2.0,3.0,True,5.0,7.2,5.0,20.0,3.0
34,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,0.0,0.0,0.0,0.0
47,31.0,5.0,2.0,2.0,26.0,0.0,2.0,0.0,0.3225806451612903,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
72,15.0,5.0,2.0,2.0,10.0,0.0,3.0,0.0,0.6666666666666666,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
79,9.0,13.0,4.0,2.0,1.0,5.0,4.0,1.0,2.888888888888889,3.0,3.0,3.0,True,6.0,4.333333333333333,3.0,9.0,3.0
84,47.0,21.0,2.0,2.0,26.0,0.0,4.0,0.0,0.8936170212765957,1.0,1.0,3.0,True,1.0,42.0,42.0,42.0,42.0
85,28.0,5.0,2.0,2.0,23.0,0.0,2.0,0.0,0.35714285714285715,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
106,47.0,36.0,2.0,2.0,13.0,2.0,5.0,0.0,1.5319148936170213,2.0,2.0,4.0,True,3.0,24.0,5.0,62.0,5.0
130,11.0,12.0,2.0,2.0,2.0,3.0,4.0,0.0,2.1818181818181817,3.0,3.0,3.0,True,4.0,6.0,3.0,15.0,3.0
134,7.0,8.0,2.0,2.0,2.0,3.0,4.0,0.0,2.2857142857142856,3.0,3.0,3.0,True,4.0,4.0,3.5,6.0,3.0
141,22.0,24.0,2.0,2.0,2.0,4.0,4.0,0.0,2.1818181818181817,2.0,2.0,3.0,True,5.0,9.6,6.0,28.0,3.0
183,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,True,1.0,2.0,2.0,2.0,2.0
191,5.0,7.0,2.0,1.0,1.0,3.0,4.0,1.0,2.8,3.0,3.0,4.0,True,4.0,3.5,3.0,5.0,3.0
209,7.0,14.0,2.0,1.0,1.0,8.0,6.0,2.0,4.0,4.0,4.0,4.0,True,9.0,3.111111111111111,3.0,4.0,3.0
211,7.0,7.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,True,2.0,7.0,7.0,9.0,5.0
215,14.0,22.0,2.0,2.0,2.0,10.0,7.0,0.0,3.142857142857143,3.0,2.0,4.0,True,11.0,4.0,4.0,6.0,3.0
230,23.0,27.0,2.0,2.0,2.0,6.0,5.0,0.0,2.347826086956522,2.0,2.0,3.0,True,7.0,7.714285714285714,8.0,16.0,3.0
239,8.0,1.0,2.0,2.0,7.0,0.0,1.0,0.0,0.25,0.0,0.0,2.0,True,1.0,2.0,2.0,2.0,2.0
242,12.0,6.0,2.0,2.0,7.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,True,2.0,6.0,6.0,9.0,3.0
265,18.0,16.0,2.0,2.0,6.0,4.0,5.0,0.0,1.7777777777777777,1.0,1.0,3.0,True,5.0,6.4,3.0,19.0,3.0
269,17.0,27.0,5.0,4.0,1.0,11.0,5.0,1.0,3.176470588235294,3.0,2.0,3.0,True,12.0,4.5,4.0,8.0,3.0
284,6.0,4.0,2.0,2.0,2.0,0.0,3.0,0.0,1.3333333333333333,1.0,1.0,2.0,True,1.0,8.0,8.0,8.0,8.0
286,4.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,1.5,2.0,1.0,3.0,True,1.0,6.0,6.0,6.0,6.0
